Commodity,Date,Farm,Atlanta,Chicago,Los Angeles,New York
Broccoli Bunches,12/17/2017,$0.62 ,$1.65 ,$1.16 ,$1.49 ,$1.63 
Strawberries,12/10/2017,$1.69 ,$3.84 ,$3.62 ,$3.99 ,$4.74 
Romaine Lettuce,12/10/2017,$0.34 ,$1.75 ,$2.47 ,$1.47 ,$1.76 
Red Leaf Lettuce,12/10/2017,$0.35 ,$1.52 ,$2.00 ,$1.42 ,$1.60 
Potatoes,12/10/2017,$1.55 ,$4.31 ,$4.31 ,$3.99 ,$5.72 
Oranges,12/10/2017,$0.58 ,$1.38 ,$1.30 ,$0.75 ,$1.88 
Iceberg Lettuce,12/10/2017,$0.39 ,$0.99 ,$1.41 ,$1.24 ,$1.59 
Green Leaf Lettuce,12/10/2017,$0.34 ,$1.52 ,$1.92 ,$1.42 ,$1.62 
Flame Grapes,12/10/2017,$1.21 ,$2.90 ,$1.86 ,$2.74 ,$2.81 
Celery,12/10/2017,$0.48 ,$1.31 ,$1.51 ,$1.77 ,$1.86 
Cauliflower,12/10/2017,$2.18 ,$2.59 ,$2.49 ,$3.48 ,$3.09 
Carrots,12/10/2017,$0.31 ,$0.92 ,$0.92 ,$0.99 ,$1.35 
Broccoli Crowns,12/10/2017,$0.61 ,$2.03 ,$1.92 ,$1.99 ,$1.66 
Broccoli Bunches,12/10/2017,$0.52 ,$1.61 ,$1.32 ,$1.79 ,$2.44 
Strawberries,12/3/2017,$1.75 ,$3.86 ,$3.99 ,$4.49 ,$4.82 
Romaine Lettuce,12/3/2017,$0.33 ,$1.81 ,$2.09 ,$1.47 ,$1.97 
Red Leaf Lettuce,12/3/2017,$0.31 ,$1.49 ,$1.92 ,$1.42 ,$1.62 
Potatoes,12/3/2017,$1.50 ,$5.57 ,$3.72 ,$3.99 ,$6.99 
Oranges,12/3/2017,$0.56 ,$1.56 ,$1.37 ,$0.96 ,$2.00 
Iceberg Lettuce,12/3/2017,$0.33 ,$0.99 ,$1.23 ,$1.24 ,$1.59 
Green Leaf Lettuce,12/3/2017,$0.32 ,$1.49 ,$1.87 ,$1.42 ,$1.54 
Flame Grapes,12/3/2017,$1.21 ,$2.68 ,$2.49 ,$2.12 ,$2.69 
Celery,12/3/2017,$0.39 ,$1.21 ,$1.93 ,$1.94 ,$1.49 
Cauliflower,12/3/2017,$1.06 ,$2.59 ,$1.84 ,$3.48 ,$3.34 
Carrots,12/3/2017,$0.31 ,$0.92 ,$0.85 ,$0.99 ,$1.15 
Broccoli Crowns,12/3/2017,$0.38 ,$1.59 ,$1.92 ,$1.99 ,$1.66 
Broccoli Bunches,12/3/2017,$0.35 ,$1.22 ,$1.29 ,$1.49 ,$1.63 
Strawberries,11/26/2017,$1.63 ,$3.29 ,$3.65 ,$4.49 ,$4.24 
Romaine Lettuce,11/26/2017,$0.31 ,$1.75 ,$2.18 ,$1.47 ,$1.93 
Red Leaf Lettuce,11/26/2017,$0.31 ,$1.52 ,$1.75 ,$1.42 ,$1.55 
Potatoes,11/26/2017,$1.50 ,$4.31 ,$3.72 ,$3.99 ,$4.99 
Oranges,11/26/2017,$0.56 ,$1.56 ,$1.31 ,$1.07 ,$1.99 
Iceberg Lettuce,11/26/2017,$0.32 ,$0.99 ,$1.41 ,$1.24 ,$1.61 
Green Leaf Lettuce,11/26/2017,$0.30 ,$1.52 ,$1.68 ,$1.42 ,$1.62 
Flame Grapes,11/26/2017,$1.21 ,$2.23 ,$2.36 ,$2.87 ,$2.36 
Celery,11/26/2017,$0.39 ,$1.35 ,$1.21 ,$1.94 ,$1.66 
Cauliflower,11/26/2017,$0.57 ,$2.66 ,$3.16 ,$2.98 ,$3.46 
Carrots,11/26/2017,$0.31 ,$0.92 ,$0.82 ,$0.99 ,$1.29 
Broccoli Crowns,11/26/2017,$0.34 ,$2.16 ,$1.92 ,$1.74 ,$1.66 
Broccoli Bunches,11/26/2017,$0.35 ,$1.61 ,$1.40 ,$1.79 ,$2.44 
Strawberries,11/19/2017,$2.33 ,$3.41 ,$3.65 ,$4.49 ,$4.49 
Romaine Lettuce,11/19/2017,$0.35 ,$1.75 ,$2.27 ,$1.47 ,$1.93 
Red Leaf Lettuce,11/19/2017,$0.34 ,$1.52 ,$1.82 ,$1.42 ,$1.60 
Potatoes,11/19/2017,$1.50 ,$4.27 ,$3.72 ,$3.99 ,$4.99 
Oranges,11/19/2017,$0.63 ,$1.61 ,$1.51 ,$0.99 ,$2.10 
Iceberg Lettuce,11/19/2017,$0.31 ,$0.99 ,$1.41 ,$1.24 ,$1.59 
Green Leaf Lettuce,11/19/2017,$0.31 ,$1.52 ,$1.75 ,$1.42 ,$1.62 
Flame Grapes,11/19/2017,$1.10 ,$2.11 ,$2.19 ,$2.74 ,$2.36 
Celery,11/19/2017,$0.48 ,$1.24 ,$1.11 ,$1.94 ,$1.31 
Cauliflower,11/19/2017,$0.64 ,$2.92 ,$3.16 ,$3.83 ,$3.71 
Carrots,11/19/2017,$0.31 ,$0.95 ,$0.82 ,$0.99 ,$1.29 
Broccoli Crowns,11/19/2017,$0.43 ,$2.16 ,$2.10 ,$1.99 ,$1.66 
Broccoli Bunches,11/19/2017,$0.41 ,$1.61 ,$1.25 ,$1.79 ,$2.44 
Strawberries,11/12/2017,$2.92 ,$3.24 ,$3.24 ,$3.74 ,$3.11 
Romaine Lettuce,11/12/2017,$0.35 ,$2.06 ,$2.01 ,$1.52 ,$1.74 
Red Leaf Lettuce,11/12/2017,$0.36 ,$1.52 ,$1.66 ,$1.42 ,$1.74 
Potatoes,11/12/2017,$1.40 ,$4.27 ,$3.81 ,$3.99 ,$5.22 
Oranges,11/12/2017,$0.63 ,$1.61 ,$1.60 ,$0.99 ,$2.10 
Iceberg Lettuce,11/12/2017,$0.33 ,$0.99 ,$1.28 ,$1.24 ,$1.54 
Honeydews,11/12/2017,$1.25 ,$3.94 ,$3.99 ,$3.60 ,$4.36 
Green Leaf Lettuce,11/12/2017,$0.35 ,$1.52 ,$1.69 ,$1.42 ,$1.64 
Flame Grapes,11/12/2017,$1.10 ,$1.94 ,$1.99 ,$2.49 ,$1.99 
Celery,11/12/2017,$0.59 ,$1.24 ,$1.37 ,$1.17 ,$1.57 
Cauliflower,11/12/2017,$0.83 ,$2.92 ,$3.26 ,$3.98 ,$3.21 
Carrots,11/12/2017,$0.31 ,$0.95 ,$0.95 ,$0.99 ,$1.09 
Cantaloupe,11/12/2017,$0.69 ,$2.65 ,$2.86 ,$3.06 ,$3.11 
Broccoli Crowns,11/12/2017,$0.58 ,$1.91 ,$1.94 ,$2.14 ,$1.84 
Broccoli Bunches,11/12/2017,$0.55 ,$1.61 ,$1.29 ,$1.49 ,$2.09 
Strawberries,11/5/2017,$1.83 ,$2.99 ,$3.49 ,$3.49 ,$3.11 
Romaine Lettuce,11/5/2017,$0.38 ,$1.75 ,$2.13 ,$1.47 ,$1.74 
Red Leaf Lettuce,11/5/2017,$0.35 ,$1.52 ,$1.68 ,$1.42 ,$1.74 
Potatoes,11/5/2017,$1.50 ,$3.97 ,$4.31 ,$3.99 ,$5.21 
Oranges,11/5/2017,$0.66 ,$1.75 ,$1.60 ,$0.99 ,$2.10 
Iceberg Lettuce,11/5/2017,$0.34 ,$0.99 ,$1.74 ,$1.24 ,$1.66 
Honeydews,11/5/2017,$1.58 ,$4.49 ,$3.65 ,$4.01 ,$4.36 
Green Leaf Lettuce,11/5/2017,$0.36 ,$1.52 ,$1.61 ,$1.42 ,$1.70 
Flame Grapes,11/5/2017,$1.08 ,$2.06 ,$2.49 ,$2.49 ,$2.11 
Celery,11/5/2017,$0.66 ,$1.44 ,$2.06 ,$1.82 ,$1.42 
Cauliflower,11/5/2017,$2.53 ,$2.88 ,$3.21 ,$3.98 ,$4.32 
Carrots,11/5/2017,$0.31 ,$0.92 ,$0.82 ,$0.99 ,$1.09 
Cantaloupe,11/5/2017,$1.33 ,$2.75 ,$2.74 ,$2.69 ,$2.86 
Broccoli Crowns,11/5/2017,$0.83 ,$1.92 ,$1.92 ,$2.14 ,$1.79 
Broccoli Bunches,11/5/2017,$0.66 ,$1.88 ,$1.18 ,$1.79 ,$2.09 
Strawberries,10/29/2017,$1.46 ,$2.83 ,$2.74 ,$2.62 ,$3.36 
Romaine Lettuce,10/29/2017,$0.47 ,$1.75 ,$2.01 ,$1.44 ,$1.76 
Red Leaf Lettuce,10/29/2017,$0.37 ,$1.52 ,$1.73 ,$1.37 ,$1.74 
Potatoes,10/29/2017,$1.45 ,$3.22 ,$3.97 ,$3.99 ,$5.21 
Oranges,10/29/2017,$0.67 ,$1.53 ,$1.60 ,$1.49 ,$2.22 
Iceberg Lettuce,10/29/2017,$0.43 ,$0.99 ,$1.66 ,$1.24 ,$1.66 
Honeydews,10/29/2017,$1.91 ,$3.92 ,$2.99 ,$4.01 ,$4.36 
Green Leaf Lettuce,10/29/2017,$0.37 ,$1.52 ,$1.69 ,$1.32 ,$1.64 
Flame Grapes,10/29/2017,$1.05 ,$1.86 ,$1.91 ,$2.24 ,$1.99 
Celery,10/29/2017,$0.65 ,$1.51 ,$1.84 ,$1.82 ,$1.76 
Cauliflower,10/29/2017,$2.42 ,$2.88 ,$3.15 ,$3.58 ,$2.59 
Carrots,10/29/2017,$0.31 ,$0.95 ,$0.82 ,$0.99 ,$1.09 
Cantaloupe,10/29/2017,$1.54 ,$2.65 ,$2.49 ,$2.74 ,$2.74 
Broccoli Crowns,10/29/2017,$0.96 ,$1.91 ,$1.82 ,$2.14 ,$1.71 
Broccoli Bunches,10/29/2017,$0.76 ,$1.88 ,$1.19 ,$1.49 ,$2.09 
Strawberries,10/22/2017,$1.10 ,$2.74 ,$2.74 ,$2.62 ,$3.36 
Romaine Lettuce,10/22/2017,$0.53 ,$1.75 ,$2.23 ,$1.57 ,$1.76 
Red Leaf Lettuce,10/22/2017,$0.36 ,$1.52 ,$1.82 ,$1.42 ,$1.74 
Potatoes,10/22/2017,$1.40 ,$3.97 ,$3.81 ,$3.99 ,$4.44 
Oranges,10/22/2017,$0.67 ,$1.53 ,$1.43 ,$1.67 ,$2.22 
Iceberg Lettuce,10/22/2017,$0.50 ,$0.99 ,$1.61 ,$1.12 ,$1.66 
Honeydews,10/22/2017,$1.99 ,$3.99 ,$3.42 ,$3.32 ,$4.36 
Green Leaf Lettuce,10/22/2017,$0.36 ,$1.52 ,$1.75 ,$1.42 ,$1.70 
Flame Grapes,10/22/2017,$1.02 ,$2.12 ,$2.19 ,$1.99 ,$2.11 
Celery,10/22/2017,$0.49 ,$1.75 ,$1.81 ,$1.94 ,$1.76 
Cauliflower,10/22/2017,$1.76 ,$2.91 ,$2.75 ,$3.68 ,$2.83 
Carrots,10/22/2017,$0.31 ,$0.95 ,$0.82 ,$1.50 ,$1.09 
Cantaloupe,10/22/2017,$1.37 ,$2.49 ,$2.12 ,$2.37 ,$2.74 
Broccoli Crowns,10/22/2017,$0.92 ,$1.78 ,$2.10 ,$2.14 ,$1.71 
Broccoli Bunches,10/22/2017,$0.71 ,$1.88 ,$1.07 ,$1.79 ,$2.09 
Tomatoes,10/15/2017,$0.44 ,$1.52 ,$1.44 ,$1.69 ,$1.99 
Strawberries,10/15/2017,$1.13 ,$2.66 ,$2.99 ,$2.25 ,$3.61 
Romaine Lettuce,10/15/2017,$0.78 ,$1.62 ,$1.93 ,$1.32 ,$1.76 
Red Leaf Lettuce,10/15/2017,$0.38 ,$1.52 ,$1.80 ,$1.32 ,$1.72 
Potatoes,10/15/2017,$1.40 ,$3.97 ,$3.97 ,$3.99 ,$5.22 
Oranges,10/15/2017,$0.58 ,$1.53 ,$1.52 ,$1.39 ,$2.22 
Iceberg Lettuce,10/15/2017,$1.23 ,$1.04 ,$1.31 ,$0.99 ,$1.66 
Honeydews,10/15/2017,$1.75 ,$3.24 ,$3.82 ,$3.48 ,$4.36 
Green Leaf Lettuce,10/15/2017,$0.41 ,$1.52 ,$1.75 ,$1.32 ,$1.64 
Flame Grapes,10/15/2017,$1.00 ,$2.24 ,$1.88 ,$1.71 ,$2.36 
Celery,10/15/2017,$0.47 ,$1.61 ,$1.93 ,$1.94 ,$1.42 
Cauliflower,10/15/2017,$1.23 ,$2.78 ,$3.20 ,$3.68 ,$2.99 
Carrots,10/15/2017,$0.31 ,$0.95 ,$0.82 ,$0.99 ,$0.99 
Broccoli Crowns,10/15/2017,$0.94 ,$1.91 ,$1.94 ,$2.14 ,$1.84 
Broccoli Bunches,10/15/2017,$0.73 ,$1.61 ,$1.42 ,$1.49 ,$1.18 
Tomatoes,10/8/2017,$0.44 ,$1.52 ,$1.26 ,$1.69 ,$1.91 
Strawberries,10/8/2017,$1.02 ,$2.64 ,$3.36 ,$2.99 ,$3.34 
Romaine Lettuce,10/8/2017,$0.86 ,$1.78 ,$2.13 ,$1.32 ,$2.01 
Red Leaf Lettuce,10/8/2017,$0.41 ,$1.52 ,$1.68 ,$1.32 ,$1.79 
Potatoes,10/8/2017,$1.40 ,$3.97 ,$3.97 ,$3.99 ,$5.21 
Oranges,10/8/2017,$0.56 ,$1.73 ,$1.52 ,$1.59 ,$1.99 
Iceberg Lettuce,10/8/2017,$1.56 ,$0.99 ,$1.31 ,$0.99 ,$1.75 
Honeydews,10/8/2017,$1.47 ,$3.74 ,$3.65 ,$3.73 ,$4.24 
Green Leaf Lettuce,10/8/2017,$0.43 ,$1.52 ,$1.61 ,$1.32 ,$1.75 
Flame Grapes,10/8/2017,$1.00 ,$2.19 ,$1.98 ,$1.74 ,$2.31 
Celery,10/8/2017,$0.38 ,$1.54 ,$2.06 ,$1.94 ,$1.62 
Cauliflower,10/8/2017,$1.02 ,$2.78 ,$2.90 ,$3.63 ,$2.99 
Carrots,10/8/2017,$0.31 ,$0.95 ,$0.82 ,$1.69 ,$1.09 
Cantaloupe,10/8/2017,$0.76 ,$2.18 ,$2.44 ,$4.13 ,$2.62 
Broccoli Crowns,10/8/2017,$0.97 ,$2.10 ,$1.73 ,$2.12 ,$1.74 
Tomatoes,10/1/2017,$0.46 ,$1.49 ,$1.44 ,$1.57 ,$1.86 
Strawberries,10/1/2017,$1.13 ,$2.59 ,$2.62 ,$3.49 ,$3.71 
Romaine Lettuce,10/1/2017,$0.78 ,$1.52 ,$1.91 ,$1.32 ,$2.17 
Red Leaf Lettuce,10/1/2017,$0.40 ,$1.52 ,$1.73 ,$1.32 ,$1.79 
Potatoes,10/1/2017,$1.40 ,$3.47 ,$4.31 ,$3.99 ,$5.42 
Oranges,10/1/2017,$0.56 ,$1.66 ,$1.48 ,$1.69 ,$1.89 
